equipment_id,site_id,equipment_type,equipment_name,vendor,model,serial_number,technology,frequency_band,power_watts,status,install_date,firmware_version
2218,244,gNodeB,gNB-NOT-MAC-0244-A,Nokia,Nokia AEQC,SN330265857,5G NR,n78,47,Active,2022-08-20,v24.3.45
2219,244,RRU,RRU-NOT-MAC-0244-A,Nokia,Nokia AHFIB,SN981271946,5G,,126,Active,2022-08-20,v23.6.13
2220,244,Antenna,ANT-NOT-MAC-0244-A,Nokia,Nokia AirScale Antenna,SN329076155,5G,,0,Active,2022-08-20,
2221,244,gNodeB,gNB-NOT-MAC-0244-B,Nokia,Nokia AEQC,SN100455715,5G NR,n258,61,Active,2022-08-20,v21.3.5
2222,244,RRU,RRU-NOT-MAC-0244-B,Nokia,Nokia AHHF,SN444904727,5G,,171,Active,2022-08-20,v22.1.51
2223,244,Antenna,ANT-NOT-MAC-0244-B,Nokia,Nokia MIMO Antenna 8T8R,SN937259691,5G,,0,Active,2022-08-20,
2224,244,gNodeB,gNB-NOT-MAC-0244-C,Nokia,Nokia AWHQA,SN277783040,5G NR,n78,63,Active,2022-08-20,v22.4.63
2225,244,RRU,RRU-NOT-MAC-0244-C,Nokia,Nokia AHFIB,SN381516573,5G,,115,Active,2022-08-20,v22.1.54
2226,244,Antenna,ANT-NOT-MAC-0244-C,Nokia,Nokia MIMO Antenna 8T8R,SN798239012,5G,,0,Active,2022-08-20,
2227,244,gNodeB,gNB-NOT-MAC-0244-D,Nokia,Nokia AirScale,SN848413676,5G NR,n77,58,Active,2022-08-20,v22.0.72
2228,244,RRU,RRU-NOT-MAC-0244-D,Nokia,Nokia AHHF,SN531713735,5G,,108,Active,2022-08-20,v21.7.95
2229,244,Antenna,ANT-NOT-MAC-0244-D,Nokia,Nokia AirScale Antenna,SN929358041,5G,,0,Active,2022-08-20,
2230,244,gNodeB,gNB-NOT-MAC-0244-E,Nokia,Nokia AWHQA,SN851828237,5G NR,n77,56,Active,2022-08-20,v24.8.73
2231,244,RRU,RRU-NOT-MAC-0244-E,Nokia,Nokia AHFIB,SN687019356,5G,,169,Active,2022-08-20,v23.0.51
2232,244,Antenna,ANT-NOT-MAC-0244-E,Nokia,Nokia MIMO Antenna 8T8R,SN994779063,5G,,0,Active,2022-08-20,
2233,244,gNodeB,gNB-NOT-MAC-0244-F,Nokia,Nokia AWHQA,SN204043553,5G NR,n77,57,Active,2022-08-20,v20.7.34
2234,244,RRU,RRU-NOT-MAC-0244-F,Nokia,Nokia AHHF,SN655094022,5G,,113,Active,2022-08-20,v24.3.41
2235,244,Antenna,ANT-NOT-MAC-0244-F,Nokia,Nokia AirScale Antenna,SN523612240,5G,,0,Active,2022-08-20,
2236,245,BBU,BBU-NOT-SMA-0245,Samsung,Samsung vRAN,SN384569985,5G,,479,Active,2022-11-14,v21.9.84
2237,245,gNodeB,gNB-NOT-SMA-0245-A,Samsung,Samsung 5G RAN,SN525016611,5G NR,n1,79,Active,2022-11-14,v24.7.39
2238,245,RRU,RRU-NOT-SMA-0245-A,Samsung,Samsung Mid-Band Radio,SN709049343,5G,,139,Active,2022-11-14,v23.1.41
2239,245,Antenna,ANT-NOT-SMA-0245-A,Samsung,Samsung 8T8R Antenna,SN731738359,5G,,0,Active,2022-11-14,
2240,246,BBU,BBU-NOT-SMA-0246,Huawei,Huawei BBU3910,SN436677834,5G,,225,Active,2023-08-26,v18.1.78
2241,246,gNodeB,gNB-NOT-SMA-0246-A,Huawei,Huawei AAU5613,SN829632319,5G NR,n1,51,Active,2023-08-26,v20.7.46
2242,246,RRU,RRU-NOT-SMA-0246-A,Huawei,Huawei RRU5301,SN848388271,5G,,148,Active,2023-08-26,v23.0.44
2243,246,Antenna,ANT-NOT-SMA-0246-A,Huawei,Huawei AAU3940,SN175573878,5G,,0,Active,2023-08-26,
2244,246,gNodeB,gNB-NOT-SMA-0246-B,Huawei,Huawei AAU5239,SN553636760,5G NR,n78,43,Active,2023-08-26,v21.9.68
2245,246,RRU,RRU-NOT-SMA-0246-B,Huawei,Huawei RRU3971,SN322416531,5G,,153,Active,2023-08-26,v20.3.52
2246,246,Antenna,ANT-NOT-SMA-0246-B,Huawei,Huawei AAU3940,SN207383106,5G,,0,Active,2023-08-26,
2247,246,gNodeB,gNB-NOT-SMA-0246-C,Huawei,Huawei AAU5611,SN379071239,5G NR,n1,60,Active,2023-08-26,v22.9.7
2248,246,RRU,RRU-NOT-SMA-0246-C,Huawei,Huawei RRU3971,SN621310390,5G,,100,Active,2023-08-26,v18.0.76
2249,246,Antenna,ANT-NOT-SMA-0246-C,Huawei,Huawei APUS13M,SN966502737,5G,,0,Active,2023-08-26,
2250,247,BBU,BBU-NOT-MAC-0247,Nokia,Nokia AirScale Baseband,SN420741041,5G,,471,Active,2019-08-18,v22.4.22
2251,247,gNodeB,gNB-NOT-MAC-0247-A,Nokia,Nokia AirScale,SN504087177,5G NR,n28,64,Active,2019-08-18,v22.8.78
2252,247,RRU,RRU-NOT-MAC-0247-A,Nokia,Nokia AHHF,SN563147801,5G,,163,Active,2019-08-18,v21.0.41
2253,247,Antenna,ANT-NOT-MAC-0247-A,Nokia,Nokia MIMO Antenna 8T8R,SN381460807,5G,,0,Active,2019-08-18,
2254,247,gNodeB,gNB-NOT-MAC-0247-B,Nokia,Nokia AirScale,SN980673779,5G NR,n78,59,Active,2019-08-18,v22.6.46
2255,247,RRU,RRU-NOT-MAC-0247-B,Nokia,Nokia AHHF,SN912034755,5G,,156,Active,2019-08-18,v20.8.3
2256,247,Antenna,ANT-NOT-MAC-0247-B,Nokia,Nokia MIMO Antenna 8T8R,SN940221054,5G,,0,Active,2019-08-18,
2257,247,gNodeB,gNB-NOT-MAC-0247-C,Nokia,Nokia AEQC,SN337009909,5G NR,n28,52,Active,2019-08-18,v24.9.3
2258,247,RRU,RRU-NOT-MAC-0247-C,Nokia,Nokia AHHF,SN240505379,5G,,131,Active,2019-08-18,v24.5.33
2259,247,Antenna,ANT-NOT-MAC-0247-C,Nokia,Nokia MIMO Antenna 8T8R,SN509375233,5G,,0,Active,2019-08-18,
2260,248,BBU,BBU-NOT-SMA-0248,Nokia,Nokia AirScale Baseband,SN780251241,5G,,294,Active,2021-01-14,v24.6.43
2261,248,gNodeB,gNB-NOT-SMA-0248-A,Nokia,Nokia AWHQA,SN158188648,5G NR,n28,46,Active,2021-01-14,v23.5.77
2262,248,RRU,RRU-NOT-SMA-0248-A,Nokia,Nokia AHHF,SN345781771,5G,,106,Active,2021-01-14,v18.6.20
2263,248,Antenna,ANT-NOT-SMA-0248-A,Nokia,Nokia AirScale Antenna,SN227146375,5G,,0,Active,2021-01-14,
2264,248,gNodeB,gNB-NOT-SMA-0248-B,Nokia,Nokia AirScale,SN415800707,5G NR,n77,51,Active,2021-01-14,v23.6.61
2265,248,RRU,RRU-NOT-SMA-0248-B,Nokia,Nokia AHHF,SN433521676,5G,,151,Active,2021-01-14,v19.5.78
2266,248,Antenna,ANT-NOT-SMA-0248-B,Nokia,Nokia AirScale Antenna,SN518913409,5G,,0,Active,2021-01-14,
2267,248,gNodeB,gNB-NOT-SMA-0248-C,Nokia,Nokia AirScale,SN184895487,5G NR,n78,51,Active,2021-01-14,v22.1.11
2268,248,RRU,RRU-NOT-SMA-0248-C,Nokia,Nokia AHHF,SN640479208,5G,,132,Active,2021-01-14,v22.8.81
2269,248,Antenna,ANT-NOT-SMA-0248-C,Nokia,Nokia MIMO Antenna 8T8R,SN164390815,5G,,0,Active,2021-01-14,
2270,249,BBU,BBU-NOT-SMA-0249,Nokia,Nokia AirScale Baseband,SN916573079,4G/5G,,474,Active,2020-01-30,v18.1.60
2271,249,gNodeB,gNB-NOT-SMA-0249-A,Nokia,Nokia AWHQA,SN525288688,5G NR,n1,70,Active,2020-01-30,v23.8.16
2272,249,eNodeB,eNB-NOT-SMA-0249-A,Nokia,Nokia Flexi Multiradio 10,SN285638316,4G LTE,B20,48,Active,2020-01-30,v20.5.56
2273,249,RRU,RRU-NOT-SMA-0249-A,Nokia,Nokia AHFIB,SN961048611,4G/5G,,134,Active,2020-01-30,v21.2.91
2274,249,Antenna,ANT-NOT-SMA-0249-A,Nokia,Nokia MIMO Antenna 8T8R,SN950970800,4G/5G,,0,Active,2020-01-30,
2275,250,BBU,BBU-NOT-SMA-0250,Nokia,Nokia Cloud RAN,SN276211710,5G,,417,Active,2024-12-10,v18.2.93
2276,250,gNodeB,gNB-NOT-SMA-0250-A,Nokia,Nokia AirScale,SN157414283,5G NR,n77,53,Active,2024-12-10,v24.4.29
2277,250,RRU,RRU-NOT-SMA-0250-A,Nokia,Nokia AHHF,SN467381114,5G,,129,Active,2024-12-10,v21.5.89
2278,250,Antenna,ANT-NOT-SMA-0250-A,Nokia,Nokia MIMO Antenna 8T8R,SN908054052,5G,,0,Active,2024-12-10,
2279,250,gNodeB,gNB-NOT-SMA-0250-B,Nokia,Nokia AWHQA,SN595214319,5G NR,n78,75,Active,2024-12-10,v22.2.47
2280,250,RRU,RRU-NOT-SMA-0250-B,Nokia,Nokia AHHF,SN651963536,5G,,122,Active,2024-12-10,v20.2.15
2281,250,Antenna,ANT-NOT-SMA-0250-B,Nokia,Nokia AirScale Antenna,SN640588944,5G,,0,Active,2024-12-10,
2282,251,BBU,BBU-SOU-MAC-0251,Huawei,Huawei BBU3910,SN371890543,5G,,385,Active,2024-11-10,v24.4.6
2283,251,gNodeB,gNB-SOU-MAC-0251-A,Huawei,Huawei AAU5613,SN373229374,5G NR,n258,59,Active,2024-11-10,v22.4.83
2284,251,RRU,RRU-SOU-MAC-0251-A,Huawei,Huawei RRU3971,SN463503699,5G,,194,Active,2024-11-10,v19.3.9
2285,251,Antenna,ANT-SOU-MAC-0251-A,Huawei,Huawei AAU3940,SN250263406,5G,,0,Active,2024-11-10,
2286,251,gNodeB,gNB-SOU-MAC-0251-B,Huawei,Huawei AAU5613,SN865497633,5G NR,n77,68,Active,2024-11-10,v22.8.78
2287,251,RRU,RRU-SOU-MAC-0251-B,Huawei,Huawei RRU3971,SN832476711,5G,,179,Active,2024-11-10,v23.1.57
2288,251,Antenna,ANT-SOU-MAC-0251-B,Huawei,Huawei APUS13M,SN930596908,5G,,0,Active,2024-11-10,
2289,251,gNodeB,gNB-SOU-MAC-0251-C,Huawei,Huawei AAU5239,SN360807808,5G NR,n77,58,Active,2024-11-10,v21.7.21
2290,251,RRU,RRU-SOU-MAC-0251-C,Huawei,Huawei RRU5301,SN305759163,5G,,171,Active,2024-11-10,v22.6.87
2291,251,Antenna,ANT-SOU-MAC-0251-C,Huawei,Huawei AAU3940,SN980090070,5G,,0,Active,2024-11-10,
2292,252,BBU,BBU-SOU-SMA-0252,Nokia,Nokia AirScale Baseband,SN609740476,4G/5G,,381,Active,2021-04-14,v23.0.83
2293,252,gNodeB,gNB-SOU-SMA-0252-A,Nokia,Nokia AWHQA,SN960277776,5G NR,n78,44,Active,2021-04-14,v24.6.31
2294,252,eNodeB,eNB-SOU-SMA-0252-A,Nokia,Nokia Flexi Multiradio 10,SN453208783,4G LTE,B1,52,Active,2021-04-14,v21.3.4
2295,252,RRU,RRU-SOU-SMA-0252-A,Nokia,Nokia AHHF,SN753780761,4G/5G,,129,Active,2021-04-14,v20.8.64
2296,252,Antenna,ANT-SOU-SMA-0252-A,Nokia,Nokia AirScale Antenna,SN386437094,4G/5G,,0,Active,2021-04-14,
2297,252,gNodeB,gNB-SOU-SMA-0252-B,Nokia,Nokia AWHQA,SN455434392,5G NR,n77,54,Active,2021-04-14,v22.0.4
2298,252,eNodeB,eNB-SOU-SMA-0252-B,Nokia,Nokia Flexi Multiradio 10,SN867892241,4G LTE,B20,57,Active,2021-04-14,v19.7.60
2299,252,RRU,RRU-SOU-SMA-0252-B,Nokia,Nokia AHHF,SN652105788,4G/5G,,108,Active,2021-04-14,v24.6.44
2300,252,Antenna,ANT-SOU-SMA-0252-B,Nokia,Nokia AirScale Antenna,SN399417352,4G/5G,,0,Active,2021-04-14,
2301,253,BBU,BBU-SOU-MAC-0253,Huawei,Huawei BBU3910,SN373152725,4G,,384,Active,2023-10-13,v20.4.54
2302,253,eNodeB,eNB-SOU-MAC-0253-A,Huawei,Huawei BTS3900,SN979876924,4G LTE,B3,47,Active,2023-10-13,v18.1.60
2303,253,RRU,RRU-SOU-MAC-0253-A,Huawei,Huawei RRU5301,SN583545083,4G,,190,Active,2023-10-13,v24.8.13
2304,253,Antenna,ANT-SOU-MAC-0253-A,Huawei,Huawei AAU3940,SN789113525,4G,,0,Active,2023-10-13,
2305,253,eNodeB,eNB-SOU-MAC-0253-B,Huawei,Huawei DBS3900,SN791113267,4G LTE,B3,49,Active,2023-10-13,v16.2.68
2306,253,RRU,RRU-SOU-MAC-0253-B,Huawei,Huawei RRU3971,SN639382632,4G,,165,Active,2023-10-13,v23.4.68
2307,253,Antenna,ANT-SOU-MAC-0253-B,Huawei,Huawei APUS13M,SN963186550,4G,,0,Active,2023-10-13,
2308,253,eNodeB,eNB-SOU-MAC-0253-C,Huawei,Huawei DBS3900,SN920697572,4G LTE,B3,52,Active,2023-10-13,v20.0.39
2309,253,RRU,RRU-SOU-MAC-0253-C,Huawei,Huawei RRU3971,SN616728439,4G,,174,Active,2023-10-13,v23.2.61
2310,253,Antenna,ANT-SOU-MAC-0253-C,Huawei,Huawei AAU3940,SN394463869,4G,,0,Active,2023-10-13,
2311,254,BBU,BBU-SOU-MAC-0254,Nokia,Nokia Cloud RAN,SN831243679,4G,,270,Active,2019-02-27,v20.6.29
2312,254,eNodeB,eNB-SOU-MAC-0254-A,Nokia,Nokia Flexi Multiradio 10,SN882649759,4G LTE,B20,49,Active,2019-02-27,v20.6.90
2313,254,RRU,RRU-SOU-MAC-0254-A,Nokia,Nokia AHHF,SN287936545,4G,,134,Active,2019-02-27,v19.3.71
2314,254,Antenna,ANT-SOU-MAC-0254-A,Nokia,Nokia AirScale Antenna,SN736077031,4G,,0,Active,2019-02-27,
2315,254,eNodeB,eNB-SOU-MAC-0254-B,Nokia,Nokia Flexi Zone,SN659917125,4G LTE,B3,37,Active,2019-02-27,v17.9.13
2316,254,RRU,RRU-SOU-MAC-0254-B,Nokia,Nokia AHFIB,SN221042498,4G,,182,Active,2019-02-27,v23.8.63
2317,254,Antenna,ANT-SOU-MAC-0254-B,Nokia,Nokia AirScale Antenna,SN520796380,4G,,0,Active,2019-02-27,
2318,254,eNodeB,eNB-SOU-MAC-0254-C,Nokia,Nokia Flexi Multiradio 10,SN285115751,4G LTE,B3,46,Active,2019-02-27,v22.8.6
2319,254,RRU,RRU-SOU-MAC-0254-C,Nokia,Nokia AHFIB,SN280155891,4G,,118,Active,2019-02-27,v18.0.14
2320,254,Antenna,ANT-SOU-MAC-0254-C,Nokia,Nokia AirScale Antenna,SN298764939,4G,,0,Active,2019-02-27,
2321,255,BBU,BBU-SOU-MAC-0255,Ericsson,Ericsson Baseband 6630,SN288687733,4G/5G,,201,Active,2024-10-13,v18.1.88
2322,255,gNodeB,gNB-SOU-MAC-0255-A,Ericsson,Ericsson Radio 4422,SN565972301,5G NR,n258,64,Active,2024-10-13,v20.0.3
2323,255,eNodeB,eNB-SOU-MAC-0255-A,Ericsson,Ericsson Radio 4415,SN867581473,4G LTE,B7,42,Active,2024-10-13,v16.0.70
2324,255,RRU,RRU-SOU-MAC-0255-A,Ericsson,Ericsson Radio 2219,SN978138128,4G/5G,,137,Active,2024-10-13,v19.5.49
2325,255,Antenna,ANT-SOU-MAC-0255-A,Ericsson,Ericsson AIR 6488,SN410057868,4G/5G,,0,Active,2024-10-13,
2326,255,gNodeB,gNB-SOU-MAC-0255-B,Ericsson,Ericsson AIR 6449,SN693814150,5G NR,n77,58,Active,2024-10-13,v22.3.82
2327,255,eNodeB,eNB-SOU-MAC-0255-B,Ericsson,Ericsson RBS 6601,SN944142304,4G LTE,B20,45,Active,2024-10-13,v18.6.96
2328,255,RRU,RRU-SOU-MAC-0255-B,Ericsson,Ericsson Radio 2219,SN309366141,4G/5G,,140,Active,2024-10-13,v20.6.75
2329,255,Antenna,ANT-SOU-MAC-0255-B,Ericsson,Ericsson Antenna 8843,SN993414965,4G/5G,,0,Active,2024-10-13,
2330,255,gNodeB,gNB-SOU-MAC-0255-C,Ericsson,Ericsson AIR 6449,SN103919069,5G NR,n78,52,Active,2024-10-13,v20.7.96
2331,255,eNodeB,eNB-SOU-MAC-0255-C,Ericsson,Ericsson RBS 6301,SN103767019,4G LTE,B3,41,Active,2024-10-13,v22.4.42
2332,255,RRU,RRU-SOU-MAC-0255-C,Ericsson,Ericsson Radio 4478,SN569799493,4G/5G,,109,Active,2024-10-13,v20.0.88
2333,255,Antenna,ANT-SOU-MAC-0255-C,Ericsson,Ericsson AIR 6488,SN568056579,4G/5G,,0,Active,2024-10-13,
2334,256,BBU,BBU-SOU-SMA-0256,Nokia,Nokia Cloud RAN,SN817734089,4G/5G,,399,Active,2020-01-05,v21.4.11
2335,256,gNodeB,gNB-SOU-SMA-0256-A,Nokia,Nokia AirScale,SN795038276,5G NR,n78,65,Active,2020-01-05,v22.4.11
2336,256,eNodeB,eNB-SOU-SMA-0256-A,Nokia,Nokia Flexi Multiradio 10,SN403001934,4G LTE,B3,30,Active,2020-01-05,v22.7.69
2337,256,RRU,RRU-SOU-SMA-0256-A,Nokia,Nokia AHHF,SN207987918,4G/5G,,151,Active,2020-01-05,v22.9.34
2338,256,Antenna,ANT-SOU-SMA-0256-A,Nokia,Nokia MIMO Antenna 8T8R,SN145051700,4G/5G,,0,Active,2020-01-05,
2339,257,BBU,BBU-SOU-ROO-0257,Ericsson,Ericsson Baseband 6630,SN494368460,4G/5G,,487,Maintenance,2022-10-24,v24.3.55
2340,257,gNodeB,gNB-SOU-ROO-0257-A,Ericsson,Ericsson Radio 4422,SN317220219,5G NR,n1,58,Maintenance,2022-10-24,v24.2.48
2341,257,eNodeB,eNB-SOU-ROO-0257-A,Ericsson,Ericsson Radio 4415,SN271053100,4G LTE,B7,42,Maintenance,2022-10-24,v20.7.1
2342,257,RRU,RRU-SOU-ROO-0257-A,Ericsson,Ericsson Radio 2219,SN679751450,4G/5G,,155,Maintenance,2022-10-24,v22.8.66
2343,257,Antenna,ANT-SOU-ROO-0257-A,Ericsson,Ericsson AIR 6488,SN607319842,4G/5G,,0,Maintenance,2022-10-24,
2344,257,gNodeB,gNB-SOU-ROO-0257-B,Ericsson,Ericsson Radio 4422,SN178005036,5G NR,n1,63,Maintenance,2022-10-24,v20.5.75
2345,257,eNodeB,eNB-SOU-ROO-0257-B,Ericsson,Ericsson RBS 6301,SN489791207,4G LTE,B3,44,Maintenance,2022-10-24,v22.1.72
2346,257,RRU,RRU-SOU-ROO-0257-B,Ericsson,Ericsson Radio 4478,SN504859260,4G/5G,,102,Maintenance,2022-10-24,v23.9.30
2347,257,Antenna,ANT-SOU-ROO-0257-B,Ericsson,Ericsson AIR 6488,SN123919685,4G/5G,,0,Maintenance,2022-10-24,
2348,258,BBU,BBU-SOU-SMA-0258,Nokia,Nokia AirScale Baseband,SN242486665,4G/5G,,420,Active,2021-11-22,v23.5.58
2349,258,gNodeB,gNB-SOU-SMA-0258-A,Nokia,Nokia AWHQA,SN719884280,5G NR,n1,75,Active,2021-11-22,v21.6.1
2350,258,eNodeB,eNB-SOU-SMA-0258-A,Nokia,Nokia Flexi Zone,SN694097076,4G LTE,B20,57,Active,2021-11-22,v16.9.47
2351,258,RRU,RRU-SOU-SMA-0258-A,Nokia,Nokia AHFIB,SN178210987,4G/5G,,200,Active,2021-11-22,v21.5.42
2352,258,Antenna,ANT-SOU-SMA-0258-A,Nokia,Nokia MIMO Antenna 8T8R,SN226463759,4G/5G,,0,Active,2021-11-22,
2353,258,gNodeB,gNB-SOU-SMA-0258-B,Nokia,Nokia AEQC,SN590612133,5G NR,n258,58,Active,2021-11-22,v20.2.62
2354,258,eNodeB,eNB-SOU-SMA-0258-B,Nokia,Nokia Flexi Zone,SN746524846,4G LTE,B7,35,Active,2021-11-22,v22.1.12
2355,258,RRU,RRU-SOU-SMA-0258-B,Nokia,Nokia AHFIB,SN401002995,4G/5G,,111,Active,2021-11-22,v22.9.51
2356,258,Antenna,ANT-SOU-SMA-0258-B,Nokia,Nokia AirScale Antenna,SN567874903,4G/5G,,0,Active,2021-11-22,
2357,258,gNodeB,gNB-SOU-SMA-0258-C,Nokia,Nokia AEQC,SN274717968,5G NR,n77,49,Active,2021-11-22,v24.7.42
2358,258,eNodeB,eNB-SOU-SMA-0258-C,Nokia,Nokia Flexi Multiradio 10,SN157331978,4G LTE,B7,55,Active,2021-11-22,v21.4.92
2359,258,RRU,RRU-SOU-SMA-0258-C,Nokia,Nokia AHHF,SN386045942,4G/5G,,116,Active,2021-11-22,v18.8.44
2360,258,Antenna,ANT-SOU-SMA-0258-C,Nokia,Nokia MIMO Antenna 8T8R,SN500342933,4G/5G,,0,Active,2021-11-22,
2361,259,BBU,BBU-SOU-DAS-0259,Huawei,Huawei BBU3910,SN994898284,4G/5G,,223,Active,2024-05-05,v20.6.99
2362,259,gNodeB,gNB-SOU-DAS-0259-A,Huawei,Huawei AAU5611,SN103098968,5G NR,n77,76,Active,2024-05-05,v21.2.46
2363,259,eNodeB,eNB-SOU-DAS-0259-A,Huawei,Huawei DBS3900,SN862685924,4G LTE,B20,48,Active,2024-05-05,v16.0.8
2364,259,RRU,RRU-SOU-DAS-0259-A,Huawei,Huawei RRU3971,SN335747842,4G/5G,,190,Active,2024-05-05,v20.6.35
2365,259,Antenna,ANT-SOU-DAS-0259-A,Huawei,Huawei AAU3940,SN593232068,4G/5G,,0,Active,2024-05-05,
2366,260,BBU,BBU-LEI-SMA-0260,Ericsson,Ericsson Baseband 6630,SN326851705,5G,,269,Active,2020-03-12,v20.7.22
2367,260,gNodeB,gNB-LEI-SMA-0260-A,Ericsson,Ericsson AIR 6419,SN756084755,5G NR,n1,60,Active,2020-03-12,v22.0.7
2368,260,RRU,RRU-LEI-SMA-0260-A,Ericsson,Ericsson Radio 2219,SN621274614,5G,,166,Active,2020-03-12,v23.8.23
2369,260,Antenna,ANT-LEI-SMA-0260-A,Ericsson,Ericsson AIR 6488,SN839644162,5G,,0,Active,2020-03-12,
2370,260,gNodeB,gNB-LEI-SMA-0260-B,Ericsson,Ericsson AIR 3246,SN358095832,5G NR,n258,45,Active,2020-03-12,v21.6.9
2371,260,RRU,RRU-LEI-SMA-0260-B,Ericsson,Ericsson Radio 4478,SN682231056,5G,,198,Active,2020-03-12,v20.0.61
2372,260,Antenna,ANT-LEI-SMA-0260-B,Ericsson,Ericsson AIR 6488,SN163262134,5G,,0,Active,2020-03-12,
2373,261,BBU,BBU-LEI-MAC-0261,Nokia,Nokia Cloud RAN,SN703934963,4G,,230,Active,2018-02-21,v18.1.73
2374,261,eNodeB,eNB-LEI-MAC-0261-A,Nokia,Nokia Flexi Zone,SN755431781,4G LTE,B20,35,Active,2018-02-21,v22.7.13
2375,261,RRU,RRU-LEI-MAC-0261-A,Nokia,Nokia AHFIB,SN438210820,4G,,123,Active,2018-02-21,v21.1.95
2376,261,Antenna,ANT-LEI-MAC-0261-A,Nokia,Nokia AirScale Antenna,SN898722372,4G,,0,Active,2018-02-21,
2377,261,eNodeB,eNB-LEI-MAC-0261-B,Nokia,Nokia Flexi Zone,SN977183136,4G LTE,B3,57,Active,2018-02-21,v22.7.6
2378,261,RRU,RRU-LEI-MAC-0261-B,Nokia,Nokia AHFIB,SN314329144,4G,,105,Active,2018-02-21,v18.7.9
2379,261,Antenna,ANT-LEI-MAC-0261-B,Nokia,Nokia MIMO Antenna 8T8R,SN737425155,4G,,0,Active,2018-02-21,
2380,261,eNodeB,eNB-LEI-MAC-0261-C,Nokia,Nokia Flexi Zone,SN104942961,4G LTE,B20,60,Active,2018-02-21,v19.4.89
2381,261,RRU,RRU-LEI-MAC-0261-C,Nokia,Nokia AHFIB,SN641359164,4G,,173,Active,2018-02-21,v24.4.71
2382,261,Antenna,ANT-LEI-MAC-0261-C,Nokia,Nokia MIMO Antenna 8T8R,SN850681734,4G,,0,Active,2018-02-21,
2383,261,eNodeB,eNB-LEI-MAC-0261-D,Nokia,Nokia Flexi Zone,SN970512742,4G LTE,B3,50,Active,2018-02-21,v17.9.66
2384,261,RRU,RRU-LEI-MAC-0261-D,Nokia,Nokia AHHF,SN543674807,4G,,175,Active,2018-02-21,v22.9.27
2385,261,Antenna,ANT-LEI-MAC-0261-D,Nokia,Nokia MIMO Antenna 8T8R,SN470026225,4G,,0,Active,2018-02-21,
2386,261,eNodeB,eNB-LEI-MAC-0261-E,Nokia,Nokia Flexi Multiradio 10,SN399604609,4G LTE,B1,60,Active,2018-02-21,v19.1.52
2387,261,RRU,RRU-LEI-MAC-0261-E,Nokia,Nokia AHFIB,SN770450000,4G,,192,Active,2018-02-21,v22.2.60
2388,261,Antenna,ANT-LEI-MAC-0261-E,Nokia,Nokia AirScale Antenna,SN964118944,4G,,0,Active,2018-02-21,
2389,261,eNodeB,eNB-LEI-MAC-0261-F,Nokia,Nokia Flexi Zone,SN328940430,4G LTE,B20,58,Active,2018-02-21,v22.1.4
2390,261,RRU,RRU-LEI-MAC-0261-F,Nokia,Nokia AHHF,SN456793825,4G,,105,Active,2018-02-21,v19.5.99
2391,261,Antenna,ANT-LEI-MAC-0261-F,Nokia,Nokia MIMO Antenna 8T8R,SN338133430,4G,,0,Active,2018-02-21,
2392,262,BBU,BBU-LEI-MAC-0262,Ericsson,Ericsson Baseband 6630,SN173788332,4G/5G,,439,Active,2019-02-04,v20.3.93
2393,262,gNodeB,gNB-LEI-MAC-0262-A,Ericsson,Ericsson AIR 3246,SN374913960,5G NR,n258,73,Active,2019-02-04,v21.5.19
2394,262,eNodeB,eNB-LEI-MAC-0262-A,Ericsson,Ericsson RBS 6301,SN535543580,4G LTE,B20,57,Active,2019-02-04,v18.8.55
2395,262,RRU,RRU-LEI-MAC-0262-A,Ericsson,Ericsson Radio 2219,SN900294049,4G/5G,,154,Active,2019-02-04,v21.3.75
2396,262,Antenna,ANT-LEI-MAC-0262-A,Ericsson,Ericsson AIR 6488,SN870675831,4G/5G,,0,Active,2019-02-04,
2397,262,gNodeB,gNB-LEI-MAC-0262-B,Ericsson,Ericsson AIR 3246,SN681905812,5G NR,n28,72,Active,2019-02-04,v21.8.38
2398,262,eNodeB,eNB-LEI-MAC-0262-B,Ericsson,Ericsson RBS 6601,SN959210287,4G LTE,B1,37,Active,2019-02-04,v19.4.51
2399,262,RRU,RRU-LEI-MAC-0262-B,Ericsson,Ericsson Radio 2219,SN680026872,4G/5G,,106,Active,2019-02-04,v20.5.6
2400,262,Antenna,ANT-LEI-MAC-0262-B,Ericsson,Ericsson Antenna 8843,SN976500176,4G/5G,,0,Active,2019-02-04,
2401,262,gNodeB,gNB-LEI-MAC-0262-C,Ericsson,Ericsson Radio 4422,SN856652902,5G NR,n28,43,Active,2019-02-04,v23.5.57
2402,262,eNodeB,eNB-LEI-MAC-0262-C,Ericsson,Ericsson Radio 4415,SN478428730,4G LTE,B1,32,Active,2019-02-04,v18.6.20
2403,262,RRU,RRU-LEI-MAC-0262-C,Ericsson,Ericsson Radio 2219,SN706203548,4G/5G,,123,Active,2019-02-04,v23.0.76
2404,262,Antenna,ANT-LEI-MAC-0262-C,Ericsson,Ericsson AIR 6488,SN680724838,4G/5G,,0,Active,2019-02-04,
2405,263,BBU,BBU-LEI-MAC-0263,Nokia,Nokia Cloud RAN,SN922120921,5G,,366,Active,2023-02-04,v18.0.63
2406,263,gNodeB,gNB-LEI-MAC-0263-A,Nokia,Nokia AWHQA,SN884497112,5G NR,n28,41,Active,2023-02-04,v24.1.29
